,link,title,name,price,category,sex
122,https://www.myntra.com/tshirts/blackberrys/blackberrys-men-purple-polo-collar-t-shirt/17859664/buy,Blackberrys,Men Purple Polo Collar T-shirt,776,topwear,Men
123,https://www.myntra.com/tshirts/duke/duke-men-white-polo-collar-slim-fit-t-shirt/19653116/buy,Duke,Men White Polo Collar Slim Fit T-shirt,1313,topwear,Men
124,https://www.myntra.com/tshirts/tokyo-talkies/tokyo-talkies-women-beige-t-shirt/14424508/buy,Tokyo Talkies,Women Beige T-shirt,219,topwear,Women
125,https://www.myntra.com/tshirts/puma/puma-men-white--black-brand-logo-printed-essential-monochrome-t-shirt/16848270/buy,Puma,Men White &amp; Black Brand Logo Printed Essential Monochrome T-shirt,1104,topwear,Men
126,https://www.myntra.com/blazers/mango/mango-women-orange-oversized-single-breasted-solid-blazer/19120618/buy,MANGO,Women Orange Oversized Single-Breasted Solid Blazer,5992,topwear,Women
127,https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-racketsport-women-racing-red-rapid-dry-colourblock-tshirt/17861288/buy,HRX by Hrithik Roshan,HRX By Hrithik Roshan Racketsport Women Racing Red Rapid-Dry Colourblock Tshirt,599,topwear,Women
128,https://www.myntra.com/tshirts/smileyworld/smileyworld-men-white--yellow-tie-and-dye-printed-t-shirt/19211008/buy,SmileyWorld,Men White &amp; Yellow Tie and Dye Printed T-shirt,719,topwear,Men
129,https://www.myntra.com/tshirts/puma/puma-men-white-polo-collar-drycell-performance-training-t-shirt/16848164/buy,Puma,Men White Polo Collar DryCELL Performance Training T-shirt,1349,topwear,Men
130,https://www.myntra.com/tshirts/tokyo-talkies/tokyo-talkies-women-blue-high-neck-t-shirt/14424874/buy,Tokyo Talkies,Women Blue High Neck T-shirt,382,topwear,Women
131,https://www.myntra.com/sweatshirts/kappa/kappa-men-black-printed-cotton-round-neck-sweatshirt/19601450/buy,Kappa,Men Black Printed Cotton Round Neck Sweatshirt,1709,topwear,Men
132,https://www.myntra.com/kurtas/jompers/jompers-men-olive-green-thread-work-kurta/15455664/buy,Jompers,Men Olive Green Thread Work Kurta,902,topwear,Men
133,https://www.myntra.com/tshirts/tommy-hilfiger/tommy-hilfiger-men-peach-coloured-solid-polo-collar-casual-t-shirt/18818706/buy,Tommy Hilfiger,Men Peach-Coloured Solid Polo Collar Casual T-shirt,3239,topwear,Men
134,https://www.myntra.com/shirts/cavallo-by-linen-club/cavallo-by-linen-club-men-white-floral-printed-casual-shirt/19318658/buy,CAVALLO by Linen Club,Men White Floral Printed Casual Shirt,1439,topwear,Men
135,https://www.myntra.com/tshirts/difference-of-opinion/difference-of-opinion-men-burgundy--beige-typography-printed-oversized-cotton-t-shirt/18440330/buy,Difference of Opinion,Men Burgundy &amp; Beige Typography Printed Oversized Cotton T-shirt,584,topwear,Men
136,https://www.myntra.com/tops/tokyo-talkies/tokyo-talkies-pretty-pink-solid-top/18379050/buy,Tokyo Talkies,Pretty Pink Solid Top,351,topwear,N.A.
137,https://www.myntra.com/kurtas/house-of-pataudi/house-of-pataudi-men-olive-green--golden-woven-design-thread-work-jashn-kurta/14698388/buy,House of Pataudi,Men Olive Green &amp; Golden Woven Design Thread Work Jashn Kurta,1749,topwear,Men
